Timestamp,X-Axis,Y-Axis,Z-Axis
2480,7384,-216,-979
2490,2658,3884,542
2500,2175,3976,-522
2510,5495,-319,-547
2520,6385,728,-131
2530,9423,1376,-598
2540,3168,1238,994
2550,3850,1528,971
2560,3163,2250,268
2570,2131,-85,759
2580,-938,2460,699
2590,6852,1964,910
2600,933,2279,-384
2610,1645,2268,-454
2620,1604,-329,908
2630,2181,3370,673
2640,5154,370,-149
2650,8647,983,-63
2660,7342,1803,873
2670,2317,739,526
2680,9202,-969,376
2690,2989,3781,706
2700,-411,2229,607
2710,1526,1531,-278
2720,10195,2785,554
2730,10349,-583,179
2740,-365,1500,959
2750,5904,1891,422
2760,4711,-645,-510
2770,9935,-781,937
2780,10698,1097,-425
2790,572,2460,644
2800,9959,-518,-321
2810,-9,-495,981
2820,1098,-521,259
2830,1707,3308,-649
2840,2440,3953,858
2850,2681,3351,-788
2860,3249,1876,900
2870,6296,3445,-929
2880,10284,3293,481
2890,-740,2371,566
2900,6024,1713,-208
2910,2532,-397,211
2920,5771,-597,-845
2930,4051,-147,-742
2940,2762,1718,889
2950,5105,-499,319
2960,354,1022,-227
2970,5496,350,857
2980,4951,2170,-927
2990,-447,-456,145
3000,3005,2494,-252
3010,811,1464,-344
3020,8153,-686,558
3030,3151,816,-241
3040,8832,-707,-604
3050,4362,149,530
3060,7766,3471,-615
3070,9742,127,107
3080,4636,1428,487
3090,7984,3292,-131
3100,-74,1213,669
3110,2434,3354,506
3120,1391,1638,169
3130,1363,1401,187
3140,7927,1018,749
3150,956,-655,-398
3160,988,2723,587
3170,2521,1787,997
3180,7631,13,182
3190,-998,39,290
3200,8268,-231,-907
3210,10875,3635,-701
3220,10528,-304,614
3230,-289,2914,294
3240,-156,1766,-927
3250,-35,1779,-465
3260,4866,2166,-356
3270,5550,2404,572
3280,10601,1625,-44
3290,-147,1420,-596
3300,3789,656,-670
3310,10605,2555,177
3320,-816,-398,-304
3330,-6,3636,-447
3340,2470,2757,-25
3350,4280,-123,64
3360,-438,3071,-201
3370,9655,511,634
3380,395,56,-207
3390,7683,-336,-789
3400,7631,3288,962
3410,4369,2964,-895
3420,2017,-193,-557
3430,1685,3016,347
3440,-343,829,-893
3450,2734,731,185
3460,8861,3498,202
3470,6050,-896,-923
3480,3684,-729,-762
3490,6663,1493,-324
3500,2129,9,-130
3510,7144,3750,-722
3520,7284,1749,-769
3530,5094,852,726
3540,920,185,502
3550,4652,-622,-847
3560,10055,233,-113
3570,-989,3892,-591
3580,8165,-384,-356
3590,7285,-417,-434
3600,525,-446,152
3610,10108,3505,-174
3620,-919,22,-830
3630,7466,2372,-458
3640,6628,-37,-190
3650,3732,3994,-652
3660,4259,1047,740
3670,-152,-748,-396
3680,3591,68,-354
3690,1327,1109,101
3700,5580,-728,639
3710,10023,116,783
3720,7449,3488,922
3730,10730,-643,-370
3740,10434,1526,530
3750,9006,-411,237
3760,8813,-537,-155
3770,6624,585,-554
3780,3988,2533,-349
3790,6164,402,-326
3800,8185,1741,886
3810,3003,2285,-534
3820,6063,3943,693
3830,1881,2675,554
3840,6813,1602,-937
3850,7831,-834,-474
3860,6664,436,-360
3870,1220,-950,-501
3880,9006,2116,935
3890,8381,353,743
3900,4874,1994,448
3910,-706,3124,79
3920,8070,2250,79
3930,8607,1773,356
3940,-990,3205,-102
3950,6191,-740,-120
3960,3920,3563,-124
3970,5392,1778,362
3980,3208,3161,-341
3990,472,-404,453
4000,10672,2375,-146
4010,2567,3321,216
4020,6192,1005,763
4030,4657,3677,-499
4040,6769,3099,-664
4050,8116,-331,187
4060,4145,-726,-511
4070,452,1873,-342
4080,6995,11,472
4090,5505,-719,-37
4100,1749,613,976
4110,7306,2022,-456
4120,3540,260,-816
4130,2380,3363,-746
4140,6721,3225,306
4150,-411,2796,46
4160,2109,64,-42
4170,4485,2881,-101
4180,39,1809,452
4190,5342,186,604
4200,8687,3942,-560
4210,10212,866,234
4220,-55,2717,-383
4230,544,237,294
4240,9262,-15,195
4250,10253,3855,-790
4260,5808,2243,898
4270,2741,3290,-608
4280,4878,2903,957
4290,1446,2307,-325
4300,4974,-367,-299
4310,10751,1686,394
4320,6333,1606,-991
4330,8056,2145,-978
4340,5455,856,781
4350,8314,2435,-2
4360,-335,-894,-782
4370,6981,1108,-575
4380,7623,-253,346
4390,-400,3253,729
4400,10579,1082,115
4410,3945,3764,-592
4420,3703,2096,-935
4430,-451,-748,-601
4440,8491,-292,-322
4450,9972,3934,153
4460,6432,-250,527
4470,5093,-316,-910
4480,4044,2934,787
4490,-985,460,190
4500,5517,305,-255
4510,1779,-221,764
4520,2787,3687,-718
4530,1742,679,177
4540,7835,1226,871
4550,6452,482,-198
4560,-100,3630,-773
4570,6973,-687,-21
4580,2828,-646,866
4590,4371,2735,996
4600,9172,1938,310
4610,8078,1447,-962
4620,9484,-743,-934
4630,5270,3649,315
4640,3718,513,-498
4650,4730,-491,237
4660,5250,3530,-916
4670,6553,1052,-533
4680,3439,3245,243
4690,2422,-268,520
4700,4538,2897,515
4710,6474,2231,513
4720,3556,275,335
4730,8464,674,364
4740,4530,-712,-346
4750,869,1653,670
4760,2710,342,-505
4770,362,3752,714
4780,5955,-257,866
4790,-335,-976,126
4800,4964,-619,-842
4810,2871,64,-505
4820,5618,2098,-200
4830,891,1859,-702
4840,-543,1313,-842
4850,-76,1119,933
4860,4503,752,90
4870,881,1841,69
4880,6631,1890,640
4890,10185,1865,80
4900,-691,-839,-959
4910,2402,2369,173
4920,3708,3298,-762
4930,-192,1140,-500
4940,5402,-385,-654
4950,4757,1501,512
4960,2978,1913,461
4970,10085,-193,-435
4980,3808,1137,913
4990,1767,-373,586
5000,5788,3699,-336
5010,1407,-628,-217
5020,2372,2468,-123
5030,777,202,-820
5040,4927,2399,962
5050,4911,1346,-296
5060,7263,1364,718
5070,2233,-784,887
5080,7567,2706,-44
5090,7079,3647,18
5100,5859,1610,996
5110,6560,-606,74
5120,827,3636,183
5130,6828,-451,-643
5140,5519,237,-254
5150,5869,893,552
5160,4707,3226,-349
5170,4047,1292,461
5180,2645,550,-383
5190,912,3580,734
5200,7112,1300,-135
5210,1864,2696,-463
5220,6379,391,440
5230,7290,3474,196
5240,2780,2135,-763
5250,1332,571,172
5260,2897,-683,-940
5270,2227,3610,689
5280,5578,1454,-553
5290,1106,3822,-841
5300,4481,430,516
5310,1179,293,-171
5320,8872,100,627
5330,1081,2171,823
5340,10269,460,936
5350,966,3139,-463
5360,1308,3486,-666
5370,7388,1278,-21
5380,4821,-93,-149
5390,1746,3973,-471
5400,3052,3255,-341
5410,6753,-4,-23
5420,1911,3624,-179
5430,7019,1721,-578
5440,907,-4,-289
5450,3614,3163,73
5460,6747,715,788
5470,737,3382,357
5480,5311,50,-303
5490,341,1380,322
5500,10158,366,-42
5510,8841,1154,845
5520,1079,1229,606
5530,9778,-618,-571
5540,5214,-282,-304
5550,4786,1066,-177
5560,-852,-486,-917
5570,6755,3308,535
5580,872,-310,-343
5590,6376,697,-810
5600,2295,383,-173
5610,6103,2569,387
5620,6974,3338,525
5630,10382,3387,-542
5640,243,1297,-605
5650,3994,3586,383
5660,1180,-102,196
5670,5176,-92,-664
5680,8787,1239,-13
5690,7024,2892,190
5700,1708,1143,-813
5710,-889,3924,637
5720,4391,3198,631
5730,5425,2487,-362
5740,2615,-991,101
5750,4425,2054,370
5760,4714,1661,-906
5770,10053,-150,-685
5780,718,859,-855
5790,10353,-968,-894
5800,1135,3858,-343
5810,10912,-656,-628
5820,10745,3735,543
5830,179,-396,-214
5840,4812,1644,-696
5850,3647,1963,-556
5860,1951,685,-785
5870,3010,1127,-392
5880,6502,715,-255
5890,6819,159,-331
5900,5431,-843,282
5910,8813,1905,-1000
5920,447,13,-294
5930,7341,2921,-936
5940,9646,3660,276
5950,10264,3518,-5
5960,5917,2586,-648
5970,572,1849,968
5980,25,364,-447
5990,2296,-508,-567
6000,7836,122,-272
6010,-796,1077,-680
6020,6620,935,-594
6030,5329,1342,-727
6040,-266,-345,-755
6050,5775,1351,-190
6060,7515,317,-173
6070,4915,3791,-546
6080,3376,3590,-350
6090,8921,3249,-958
6100,2433,3708,344
6110,1170,-414,981
6120,41,3705,-830
6130,6502,1992,834
6140,7310,753,-267
6150,10886,-911,653
6160,-98,2578,-403
6170,1287,-362,327
6180,6,-756,413
6190,611,1683,-874
6200,9153,769,-226
6210,909,779,-819
6220,7254,3864,-228
6230,6202,427,-723
6240,2202,2255,386
6250,2413,-250,223
6260,10441,2603,-512
6270,7312,1262,982
6280,7069,1782,235
6290,7413,1808,-247
6300,5228,1395,-170
6310,125,996,-372
6320,5166,1273,869
6330,1102,-119,34
6340,4766,3091,966
6350,5768,1698,-474
6360,4626,2264,231
6370,660,134,-796
6380,5820,589,-847
6390,8609,3222,154
6400,7799,1879,205
6410,7090,3930,126
6420,1547,3640,-8
6430,4479,2220,887
6440,6821,96,-700
6450,4801,1139,765
6460,262,2003,-417
6470,2139,2657,-818
6480,8486,198,-296
6490,4002,768,966
6500,1449,3755,-908
6510,8909,3957,-560
6520,-588,2852,-390
6530,2586,2602,583
6540,1918,1514,826
6550,-186,109,-946
6560,-30,1854,213
6570,5166,1552,879
6580,3656,1017,-341
6590,6382,1465,221
6600,9036,-154,899
6610,8223,550,-325
6620,1646,1856,780
6630,448,875,57
6640,-894,-183,458
6650,3688,-257,-253
6660,6313,2755,-62
6670,5859,2504,-260
6680,9842,3812,-564
6690,3574,2922,597
6700,7313,1655,-75
6710,7306,1755,591
6720,2966,2689,-914
6730,1384,3851,192
6740,2532,2974,-526
6750,-370,3919,288
6760,125,-17,-536
6770,2599,-317,52
6780,-488,-905,-457
6790,1098,172,981
6800,6013,-335,-498
6810,2120,3945,-1000
6820,7010,2218,58
6830,5751,3446,944
6840,8984,2662,510
6850,7744,-862,-84
6860,5574,3067,-325
6870,4746,-79,771
6880,5005,1921,-38
6890,6471,2054,497
6900,3010,-75,59
6910,6092,-55,71
6920,4386,1954,-680
6930,9649,1244,38
6940,3478,1633,-149
6950,-968,705,568
6960,2224,-211,743
6970,5417,3569,-444
6980,3478,3015,-599
6990,9402,1705,52
7000,9552,4833,132
7010,3887,-116,-404
7020,-558,1373,152
7030,8486,3148,291
7040,8868,12,-643
7050,3955,2437,544
7060,2052,3670,254
7070,343,-134,-327
7080,-633,2301,965
7090,2098,3830,416
7100,6940,1892,-940
7110,5834,-77,-934
7120,2009,3347,-855
7130,7761,1385,518
7140,2696,-495,-568
7150,1050,3845,-483
7160,3269,-427,-79
7170,4761,-556,-412
7180,5575,507,870
7190,7933,3415,-491
7200,340,2329,986
7210,1458,3610,-548
7220,1039,2223,-423
7230,5727,-979,-852
7240,1079,801,594
7250,2979,371,513
7260,2588,3872,-581
7270,1790,-50,881
7280,6704,283,-987
7290,2536,1725,-227
7300,7900,1599,516
7310,7494,2052,852
7320,6850,848,104
7330,5141,1732,-126
7340,2232,3085,769
7350,3919,-949,-112
7360,4346,1207,819
7370,10443,1040,469
7380,6052,-441,340
7390,4403,-482,-984
7400,3357,-333,691
7410,10905,2565,408
7420,9930,-413,669
7430,8404,-219,-907
7440,8242,-165,-480
7450,4533,536,55
7460,5939,1200,-121
7470,5390,3658,831
7480,7826,-55,-661
7490,347,3119,838
7500,2008,1842,500
7510,1368,2565,522
7520,-145,-378,300
7530,3814,3802,-823
7540,7399,447,108
7550,3874,-250,324
7560,771,2227,938
7570,3372,2720,68
7580,345,2739,20
7590,7690,2659,588
7600,6970,995,524
7610,7551,436,-75
7620,6803,3107,987
7630,4831,1730,325
7640,10529,3520,863
7650,7522,1954,-529
7660,10138,-535,-822
7670,7514,2928,956
7680,8784,3163,-761
7690,-952,2939,936
7700,3899,-349,284
7710,-806,2761,855
7720,-939,2216,651
7730,9268,952,949
7740,8603,-910,-325
7750,3615,2739,-338
7760,866,3858,-213
7770,6605,237,132
7780,60,1455,908
7790,2346,-946,46
7800,5913,1587,917
7810,3392,3077,507
7820,4465,1104,973
7830,4723,3397,940
7840,4438,-129,-40
7850,1947,-625,-752
7860,6403,2309,862
7870,7179,1923,-969
7880,5277,-943,-313
7890,934,862,-263
7900,4388,660,-115
7910,8307,767,994
7920,9829,3918,-430
7930,3525,3926,757
7940,7763,2316,-938
7950,7708,961,912
7960,2309,2266,-799
7970,7852,117,26
7980,3120,3672,-599
7990,-62,-567,-287
8000,10109,1671,194
8010,3459,576,896
8020,2082,361,-51
8030,931,-707,748
8040,-88,3229,-492
8050,3611,-401,-514
8060,9350,3874,6
8070,-348,-325,478
8080,6271,3511,-925
8090,8399,-974,949
8100,10426,135,274
8110,3398,3775,418
8120,10480,986,-842
8130,4191,2772,-38
8140,4810,3350,233
8150,5349,359,-702
8160,1057,-252,759
8170,8360,1233,-312
8180,5946,161,357
8190,-110,-396,-579
8200,10111,1099,-238
8210,4104,676,-779
8220,-907,-614,943
8230,3506,1330,969
8240,3563,2180,-655
8250,8242,43,-540
8260,1781,3640,300
8270,6486,939,844
8280,5606,1485,566
8290,5133,-898,-293
8300,6643,2657,696
8310,1532,40,245
8320,9563,2052,-310
8330,3922,1085,518
8340,6672,2209,-719
8350,6663,-222,513
8360,7501,2970,-490
8370,6694,193,604
8380,1763,2899,517
8390,9755,1591,-117
8400,931,3651,479
8410,5365,-403,689
8420,6598,1742,-657
8430,4091,-769,-845
8440,5104,-616,-778
8450,4911,-490,-756
8460,5340,-342,80
8470,2119,2481,3
8480,5223,-705,688
8490,10279,-25,42
8500,3813,995,-342
8510,9392,57,-258
8520,7711,-392,-494
8530,5034,-879,451
8540,36,1157,-254
8550,8830,1525,-133
8560,834,1204,384
8570,6814,-901,-789
8580,6672,3904,343
8590,1893,-641,608
8600,2459,1490,-473
8610,1468,2333,-180
8620,2137,3862,-291
8630,-605,1341,-414
8640,928,2994,-759
8650,3407,1299,-350
8660,1629,3660,462
8670,6269,1382,988
8680,5118,3686,-743
8690,-243,1663,-281
8700,8939,1686,-702
8710,9307,3535,-833
8720,10628,3037,135
8730,5973,-657,-480
8740,182,-114,493
8750,-735,1638,-743
8760,5361,2234,318
8770,4362,2833,153
8780,-610,2133,777
8790,4048,1685,-823
8800,993,3077,-453
8810,7951,3131,-467
8820,603,1443,677
8830,5597,2051,194
8840,2678,-479,-689
8850,2212,934,792
8860,1834,1469,846
8870,1040,343,-626
8880,7779,2014,-344
8890,7073,565,865
8900,6140,-427,-163
8910,5952,-114,486
8920,10142,-424,-228
8930,9905,3778,498
8940,1309,-946,-448
8950,2765,2814,-897
8960,8837,1016,631
8970,-560,-558,891
8980,3265,48,828
8990,3230,-525,39
9000,3441,-927,6
9010,9608,-447,-458
9020,245,-991,-941
9030,6908,-487,720
9040,5691,2726,-620
9050,4489,352,-244
9060,1444,3885,946
9070,-337,2643,749
9080,9451,3674,308
9090,9063,3901,-376
9100,5032,3904,749
9110,7673,2243,507
9120,39,-967,336
9130,-583,2923,-166
9140,9876,3313,-434
9150,-752,1393,306
9160,2075,2757,-239
9170,10607,1931,607
9180,-161,-390,-581
9190,2111,736,-644
9200,6918,1236,-369
9210,4947,842,-737
9220,4242,3981,-489
9230,5055,455,245
9240,10085,2256,571
9250,7364,3485,-824
9260,7828,489,731
9270,5170,1293,644
9280,162,471,-390
9290,-657,1201,-711
9300,5781,-882,421
9310,9089,1464,-679
9320,9151,1508,132
9330,10767,2719,-78
9340,250,1901,209
9350,1912,351,-888
9360,5759,2142,-179
9370,2663,3871,-774
9380,10536,-603,167
9390,3326,3166,213
9400,9270,-176,947
9410,-898,3884,-111
9420,-461,-879,117
9430,1209,1313,-607
9440,7505,3465,792
9450,7739,736,600
9460,6472,285,557
9470,-542,1556,-908
9480,9896,3221,-975
9490,6753,2936,-306
9500,5369,892,337
9510,7236,1937,315
9520,7010,555,288
9530,1548,1562,924
9540,6921,3410,173
9550,5659,-30,213
9560,1417,258,-146
9570,173,2046,420
9580,7640,1447,213
9590,7051,3729,393
9600,-145,1310,668
9610,9155,-806,-427
9620,8496,1022,896
9630,991,726,-22
9640,2784,887,59
9650,1626,-511,770
9660,560,1723,84
9670,580,-239,-450
9680,-982,3004,-966
9690,41,3078,213
9700,6424,20,771
9710,1126,3399,-278
9720,2409,3252,-432
9730,10279,28,-451
9740,7990,194,-74
9750,6089,2873,-125
9760,2615,-563,-310
9770,9006,2114,-64
9780,3120,3984,729
9790,8170,818,-639
9800,755,3497,86
9810,5363,-843,77
9820,3250,-581,167
9830,6519,1601,165
9840,-335,30,336
9850,10084,2445,-110
9860,4473,1010,406
9870,588,1608,-259
9880,7426,221,-100
9890,3300,596,94
9900,2656,-1000,-875
9910,2832,-37,-826
9920,3716,781,-204
9930,2243,-341,455
9940,10314,2785,-316
9950,2448,-92,482
9960,3340,249,-828
9970,4450,3111,-705
9980,3217,-214,484
9990,-69,1037,-119
10000,10730,400,-364
10010,5958,307,674
10020,2734,1228,80
10030,6302,3967,-395
10040,7389,2972,629
10050,9498,2895,36
10060,2665,1089,-613
10070,8192,2090,-903
10080,4208,3918,-530
10090,7562,600,-838
10100,7971,-400,-597
10110,8161,661,178
10120,2037,384,889
10130,-675,273,-778
10140,-191,-217,406
10150,1583,1968,-543
10160,5033,-757,-775
10170,3252,3979,342
10180,4315,111,572
10190,9193,-488,439
10200,327,-927,110
10210,1121,3584,431
10220,7525,708,292
10230,2616,1650,-477
10240,9784,-498,-277
10250,7465,-395,630
10260,28,3837,298
10270,6731,2090,-743
10280,2746,155,902
10290,1213,3536,-624
10300,4532,3961,-168
10310,9426,3133,-637
10320,5168,-516,-94
10330,1238,895,92
10340,674,3668,260
10350,4158,2533,748
10360,10122,523,-295
10370,1839,3051,846
10380,4581,1264,171
10390,8151,949,-853
10400,3830,1172,-851
10410,8776,2828,813
10420,2457,3039,-789
10430,2270,-931,-835
10440,6214,2666,192
10450,8632,-186,-418
10460,5342,368,710
10470,3268,3167,151
10480,-189,1682,-94
10490,-462,2507,-14
10500,3750,3144,645
10510,6731,1562,938
10520,6034,1888,234
10530,1884,1002,-273
10540,7165,692,-70
10550,10492,3870,312
10560,2180,3687,-552
10570,6700,1896,-293
10580,4317,3788,-438
10590,-983,2392,823
10600,1860,-155,-662
10610,4229,-435,-578
10620,7090,914,-214
10630,6212,2352,659
10640,7452,1005,700
10650,9264,3266,89
10660,106,-141,328
10670,63,-39,297
10680,7752,2815,-972
10690,4254,2681,-159
10700,8257,1198,573
10710,10278,1552,-15
10720,5407,3830,942
10730,3806,3428,-895
10740,8203,2611,401
10750,3706,3296,668
10760,1758,41,-891
10770,4218,1850,-480
10780,418,582,431
10790,8560,2677,847
10800,10007,364,-701
10810,9687,2374,670
10820,2898,-51,-390
10830,6985,-90,895
10840,-615,1256,-86
10850,9549,3922,-123
10860,5698,-906,-513
10870,531,3519,589
10880,2336,1848,403
10890,388,1860,814
10900,4677,-884,540
10910,-223,2439,420
10920,10464,6,-314
10930,752,1078,673
10940,8674,2796,624
10950,6183,119,305
10960,2478,1318,538
10970,4142,3843,-191
10980,9248,-269,772
10990,9753,1924,-814
11000,815,-720,111
11010,8640,3976,184
11020,2485,699,-342
11030,7332,3893,-253
11040,-124,1821,-198
11050,5605,1193,-993
11060,1648,2966,-539
11070,9741,1032,-411
11080,4533,-278,-592
11090,8125,1534,-543
11100,5572,857,-920
11110,1960,866,785
11120,6172,-559,597
11130,9468,3780,529
11140,6071,1078,531
11150,6876,-91,988
11160,3381,2913,-858
11170,1645,3959,-391
11180,10284,1547,-966
11190,1718,918,-422
11200,8996,3098,-939
11210,-311,1752,-10
11220,2029,943,679
11230,3852,2054,-920
11240,-729,1078,-796
11250,1912,2963,-32
11260,4572,3318,-141
11270,1683,2441,245
11280,221,-932,-251
11290,8071,444,-691
11300,-101,619,928
11310,2563,1757,-159
11320,7542,800,193
11330,9995,210,169
11340,7258,1758,810
11350,10058,316,441
11360,9021,3440,-585
11370,5078,-925,-833
11380,5888,1695,958
11390,7246,-228,-142
11400,3330,-160,-793
11410,5335,-975,652
11420,6077,2650,-133
11430,4423,2686,-619
11440,4940,360,-273
11450,-328,-75,-156
11460,-370,2883,-985
11470,2620,1718,922
11480,7486,2348,-203
11490,-590,3275,-283
11500,-718,244,644
11510,1021,970,71
11520,4680,-83,628
11530,10323,3525,491
11540,108,564,-331
11550,2145,2566,859
11560,4689,-50,876
11570,3475,3420,-252
11580,-423,3914,-837
11590,9506,1518,599
11600,-29,1274,628
11610,9203,579,629
11620,-716,1731,212
11630,10358,-164,-755
11640,10327,-300,-973
11650,5496,197,620
11660,4070,1233,949
11670,2415,3284,-516
11680,5633,-184,-721
11690,5223,-278,984
11700,7604,1029,774
11710,-75,213,-342
11720,10174,504,980
11730,-830,3333,-809
11740,2243,671,926
11750,1347,3746,-77
11760,6717,2938,585
11770,-350,401,415
11780,7822,2428,-16
11790,4032,393,193
11800,4555,2032,-657
11810,3189,2340,127
11820,2092,2863,246
11830,3391,931,-659
11840,5987,2080,-949
11850,6266,2756,-442
11860,1306,1146,812
11870,2393,-427,837
11880,3285,2190,964
11890,3387,-504,516
11900,2448,343,367
11910,4425,830,-641
11920,3254,2782,-560
11930,-981,3689,-976
11940,1442,-317,279
11950,8905,274,-130
11960,2792,295,-213
11970,7424,3834,-502
11980,7924,931,850
11990,4812,381,-302
12000,5354,-92,-215
12010,4530,2709,-461
12020,10595,610,563
12030,8315,1786,965
12040,10945,3813,-914
12050,661,1240,762
12060,4816,3426,90
12070,-652,1469,-893
12080,1224,-714,572
12090,3476,1727,185
12100,5552,-815,-332
12110,1760,1335,553
12120,5142,350,-100
12130,3503,2171,-705
12140,1778,1413,998
12150,8692,946,530
12160,10063,-37,239
12170,4054,251,879
12180,1136,3267,421
12190,1931,1878,-113
12200,4557,349,-378
12210,4999,3248,377
12220,4217,3853,-231
12230,898,50,-843
12240,-17,1273,720
12250,485,1142,967
12260,-931,-965,402
12270,501,3149,748
12280,417,3342,-461
12290,-231,3257,-405
12300,1785,1988,-245
12310,2104,-689,-220
12320,2062,2741,-866
12330,2510,2310,-408
12340,8549,1949,62
12350,9784,3195,-757
12360,5987,5,-994
12370,5480,2843,-882
12380,3580,441,-185
12390,-973,-528,269
12400,261,-115,127
12410,3013,121,-614
12420,9771,3962,-692
12430,53,375,11
12440,4725,-98,-827
12450,8278,-136,46
12460,10749,2855,-548
12470,7542,-954,656
12480,3362,-992,-854
12490,10176,978,-643
12500,9925,-90,120
